GPIO initialized.
i2c bus opened with handle 0.
Device with address a0 found
-15, -52, 979, -517, -48, -794, 1, -20, 34, 20000061
-16, -50, 980, -517, -48, -794, -23, -12, 24, 20000025
-17, -52, 979, -517, -48, -794, -15, -12, 20, 20000005
-16, -53, 980, -517, -48, -794, -16, -15, 9, 20000006
-15, -53, 981, -517, -48, -794, -28, -10, -7, 20000024
-16, -51, 979, -535, -18, -801, -16, -6, -13, 20000043
-16, -53, 985, -535, -18, -801, -53, -26, 14, 20000025
-16, -50, 983, -535, -18, -801, -34, -45, -11, 20000043
-16, -51, 979, -535, -18, -801, -28, -13, -1, 20000006
-15, -53, 979, -535, -18, -801, -46, -18, 1, 20000043
-16, -52, 980, -535, -42, -801, -28, -5, 16, 20000043
-17, -52, 980, -535, -42, -801, -28, 19, 4, 20000006
-17, -50, 982, -535, -42, -801, -34, -13, 5, 20000043
-17, -50, 984, -535, -42, -801, -19, -29, -14, 20000024
-15, -53, 981, -535, -42, -801, -15, -8, -10, 20000043
-16, -53, 982, -529, -54, -788, -8, 9, -6, 20000006
-17, -50, 981, -529, -54, -788, -13, 3, 2, 20000024
-15, -50, 980, -529, -54, -788, -36, -11, 45, 20000006
-15, -53, 982, -529, -54, -788, -19, -14, 19, 20000006
-17, -51, 981, -529, -54, -788, -42, -66, -1, 20000006
-16, -53, 981, -517, -24, -795, -9, 4, 1, 20000043
-15, -51, 981, -517, -24, -795, -23, -27, -4, 20000024
-16, -52, 985, -517, -24, -795, 3, -13, -1, 20000024
-16, -52, 982, -517, -24, -795, 4, -18, 3, 20000024
-16, -49, 981, -517, -24, -795, -9, -18, 13, 20000042
-17, -51, 981, -529, -30, -788, -65, -10, -6, 20000005
-16, -52, 983, -529, -30, -788, -12, -13, 25, 20000023
-17, -54, 982, -529, -30, -788, -17, -7, -19, 20000004
-15, -52, 982, -529, -30, -788, -28, -37, 5, 20000023
-16, -53, 981, -529, -30, -788, -35, -25, 16, 20000023
-15, -52, 978, -547, -24, -807, 12, -30, -9, 20000042
-17, -53, 980, -547, -24, -807, -31, -19, 3, 20000005
-16, -50, 982, -547, -24, -807, -41, -5, 19, 20000005
-14, -51, 983, -547, -24, -807, -33, -17, 28, 20000005
-15, -52, 982, -547, -24, -807, -11, -18, 0, 20000024
-16, -51, 982, -535, -36, -807, -48, -17, 15, 20000005
-17, -54, 981, -535, -36, -807, -25, -22, 50, 20000041
-17, -52, 980, -535, -36, -807, -29, -11, -1, 20000023
-16, -53, 982, -535, -36, -807, -23, -25, 31, 20000023
-16, -51, 985, -535, -36, -807, 2, 0, 3, 20000042
-17, -52, 981, -529, -12, -807, -9, 5, 1, 20000042
-16, -52, 980, -529, -12, -807, -19, -42, -47, 20000024
-17, -52, 981, -529, -12, -807, -40, 33, -20, 20000024
-15, -51, 981, -529, -12, -807, -13, 13, -12, 20000079
